id,nombre,unidad_aca,sede,dirreccion,barrio,comuna,telefono,fax,web,geometry
72,Universidad de Buenos Aires,"Facultad de Arquitectura, Diseño y Urbanismo",,"Sendero Complejo Ciudad Universitaria (Sin Nombre Oficial) y Complejo Ciudad Universitaria (Sin Nombre Oficial), Ciudad Universitaria - Pabellón III",Belgrano,Comuna 13,4789-6201/4789-6210   (R)4789-6200,4576-3205,www.uba.ar   www.fadu.uba.ar,POINT (-58.44419497148306 -34.54165358814785)
73,Universidad de Buenos Aires,Facultad de Psicología,Sede Independencia,Independencia Av. 3065,Balvanera,Comuna 3,,,www.uba.ar   www.psi.uba.ar,POINT (-58.40876132475652 -34.61983026606989)
74,Universidad de Buenos Aires,Facultad de Ingeniería,Sede Las Heras,Las Heras General Av. 2216,Recoleta,Comuna 2,4514-3013,,www.uba.ar   www.ingenieria.uba.ar,POINT (-58.39622546615327 -34.58837476665079)
75,Universidad de Buenos Aires,Facultad de Ciencias Sociales,Sede Constitución,Santiago Del Estero 1029,Constitucion,Comuna 1,4305- 6087/6168,,www.uba.ar   www.sociales.uba.ar,POINT (-58.384403255648216 -34.62024205982317)
76,Universidad de Buenos Aires,,"Sede ""Devoto""",Habana 3870,Villa Devoto,Comuna 11,4580-2825/2826,4504-7712/580-2829,www.uba.ar,POINT (-58.51237195016059 -34.5973480648669)
77,Universidad de Buenos Aires,,"Sede ""Doctor Leónidas Anastasi"" (Drago)",Holmberg 2614,Villa Urquiza,Comuna 12,4576-9852 al 55,,www.uba.ar,POINT (-58.47843692328924 -34.56763405829667)
78,Universidad de Buenos Aires,,Sede Dr. Ramos Mejía (CBC),Ramos Mejia 841,Caballito,Comuna 6,,,www.uba.ar,POINT (-58.43234005033567 -34.605907356082064)
79,Universidad de Buenos Aires,Facultad de Farmacia y Bioquímica,,Junin 954,Recoleta,Comuna 2,4964-8222/4508-3644/4964-8224/8200,4508-3648,www.uba.ar   www.ffyb.uba.ar,POINT (-58.397449200815956 -34.59785092053519)
80,Universidad de Buenos Aires,Facultad de Odontología,,"Alvear, Marcelo T. De 2142",Recoleta,Comuna 2,4508-3956/4964-1238/1239 (R)4964-1200,4508-3958,www.uba.ar   www.odon.uba.ar,POINT (-58.398067186624004 -34.59719213692)
81,Universidad de Buenos Aires,Facultad de Ciencias Sociales,,"Alvear, Marcelo T. De 2230",Recoleta,Comuna 2,4508-3813/3814 /3800/3804/3805/3806/3807,4508-3818,www.uba.ar   www.fsoc.uba.ar,POINT (-58.39955460173145 -34.59694924535013)
82,Universidad de Buenos Aires,Facultad de Medicina,,Paraguay 2155,Recoleta,Comuna 2,5950-9501/02/03 (C)9500/8000,,www.uba.ar   www.fmed.uba.ar,POINT (-58.39826035025714 -34.59841824859314)
